OwnerID,LastName,FirstName,PhoneNumber,UserName,Password
1,Fribblestone,Gus,"(716) 555-0975",GusBuster@arl.com,democrat
2,Scott,Francis,"(716) 555-4567",FranTheMan@arl.com,Habib
3,Corplestein,Leslie,"(716) 555-4567",LesTheLass@hopmail.com,Amit
4,Corplestein,Ira,"(716) 555-4567",IraBeForever@maybe.com,Peng
5,Francis,Scott,"(716) 555-0840",scotty@wherever.com,scotty
6,Ling,Wei,"(716) 555-4567",wxl0101@rit.edu,Cao
7,Burblemonger,Mary,"(716) 555-8865",GerbilLover@hatmail.com,mymy!
8,Rabblewok,George,"(716) 555-1989",ForRent@wherever.com,yourmine
9,Tripplewander,Martha,"(716) 555-2877",TakeMeFirst@quicksend.com,imfirst
10,Lumberworker,George,"(31) 555-5977",RachetMan@toolbox.net,timthetoolman
11,Ferblemander,Frederick,"(315) 555-6778",FerbieTheGreat@webSent.net,whoknows
12,Ribblemaze,Ronda,"(716) 555-2443",RibbleIsHere@webSent.net,idon
